displacementX_mm,displacementY_mm,displacementZ_mm,accX_mmss2,accY_mmss2,accZ_mmss2,resultantAccel,rateRollDegS,ratePitchDegS,rateYawDegS,angleRoll,anglePitch,angleYaw,vibrationDetected,isHighPrecision
32767,32767,32767,-102,189,9712,9714,0,0,0,15,20,-662,0,0
32767,32767,32767,-179,134,9851,9853,0,0,0,15,20,-662,0,0
32767,32767,32767,-148,177,9740,9743,0,0,0,15,20,-662,0,0
32767,32767,32767,-133,177,9731,9733,0,0,0,15,20,-662,0,0
32767,32767,32767,-162,215,9709,9713,0,0,0,15,20,-662,0,0
32767,32767,32767,-174,218,9831,9835,0,0,0,15,20,-662,0,0
32767,32767,32767,-155,198,9793,9796,0,0,0,14,20,-662,0,0
32767,32767,32767,-193,196,9724,9728,0,0,0,14,20,-662,0,0
32767,32767,32767,-205,177,9788,9792,0,0,0,15,20,-662,0,0
32767,32767,32767,-121,210,9817,9820,0,0,0,15,20,-662,0,0
32767,32767,32767,-157,196,9776,9780,0,0,0,14,20,-662,0,0
